area_sqft,bedrooms,bathrooms,parking,location,price,price_per_sqft
850,2,1,1,Bhubaneswar,3200000,3764.705882352941
1000,2,2,1,Bhubaneswar,4000000,4000.0
1200,3,2,1,Bhubaneswar,5200000,4333.333333333333
1500,3,2,2,Bhubaneswar,6800000,4533.333333333333
1800,4,3,2,Bhubaneswar,8500000,4722.222222222223
900,2,1,1,Cuttack,3000000,3333.3333333333335
1100,2,2,1,Cuttack,3900000,3545.4545454545455
1300,3,2,1,Cuttack,4800000,3692.3076923076924
1600,3,2,2,Cuttack,6200000,3875.0
2000,4,3,2,Cuttack,8000000,4000.0
750,2,1,1,Puri,2800000,3733.3333333333335
1000,2,2,1,Puri,3500000,3500.0
1250,3,2,1,Puri,4500000,3600.0
1550,3,2,2,Puri,5700000,3677.4193548387098
1900,4,3,2,Puri,7500000,3947.3684210526317
800,2,1,1,Berhampur,2500000,3125.0
1050,2,2,1,Berhampur,3400000,3238.095238095238
1250,3,2,1,Berhampur,4300000,3440.0
1500,3,2,2,Berhampur,5500000,3666.6666666666665
1850,4,3,2,Berhampur,7000000,3783.7837837837837
