area_sqft,bedrooms,bathrooms,parking,location,price
850,2,1,1,Bhubaneswar,3200000
1000,2,2,1,Bhubaneswar,4000000
1200,3,2,1,Bhubaneswar,5200000
1500,3,2,2,Bhubaneswar,6800000
1800,4,3,2,Bhubaneswar,8500000
900,2,1,1,Cuttack,3000000
1100,2,2,1,Cuttack,3900000
1300,3,2,1,Cuttack,4800000
1600,3,2,2,Cuttack,6200000
2000,4,3,2,Cuttack,8000000
750,2,1,1,Puri,2800000
1000,2,2,1,Puri,3500000
1250,3,2,1,Puri,4500000
1550,3,2,2,Puri,5700000
1900,4,3,2,Puri,7500000
800,2,1,1,Berhampur,2500000
1050,2,2,1,Berhampur,3400000
1250,3,2,1,Berhampur,4300000
1500,3,2,2,Berhampur,5500000
1850,4,3,2,Berhampur,7000000
